Latitude,Longitude,Income
-33.84396429,151.2792678,43248.21725
-33.87571322,151.2555317,48554.81329
-33.83641557,151.2122815,42075.80079
-33.79264851,151.1769532,46920.3847
-33.88050767,151.2442112,31063.85333
-33.88050685,151.2289743,52132.93707
-33.78983936,151.2540597,50012.05475
-33.83042826,151.2410586,41829.11369
-33.89227372,151.2617776,56592.45668
-33.841672,151.1825382,59375.70138
-33.89197088,151.2751697,33924.40136
-33.89208649,151.21918,42372.75221
-33.85670189,151.313063,42308.5765
-33.96446401,151.1748406,40600.96899
-33.95504589,151.2960982,58294.74842
-33.89691438,151.2191955,48061.73861
-33.91944156,151.1767291,47354.85159
-33.85308763,151.1851057,29961.37636
-33.9142012,151.1932826,56354.1803
-33.93941519,151.2305083,37607.41605
-33.79551756,151.2354418,50599.3263
-33.88008882,151.180615,52773.76938
-33.86542359,151.2080823,63606.58596
-33.94003741,151.3164135,36911.79601
-33.89601914,151.2956772,19804.87844
-33.86325387,151.2311162,51838.49545
-33.92634968,151.2112002,68005.11182
-33.8500151,151.2153016,62389.46353
-33.89883193,151.2399759,52096.59415
-33.88338469,151.1581604,45083.63814
-33.89888533,151.1964312,58071.22597
-33.77618609,151.1258708,40264.538
-33.86947486,151.2292612,54763.57769
-33.92168555,151.2416598,55054.70159
-33.82767275,151.1851407,60602.09907
-33.92984218,151.2879993,77596.60039
-33.85835682,151.1480117,53924.15967
-33.96678351,151.1360813,44910.36374
-33.9352093,151.2205226,49744.25688
-33.85895694,151.2616549,32309.24095
-33.83187667,151.2934964,43052.86869
-33.86023159,151.1863558,45907.17562
-33.87458241,151.263234,44759.11602
-33.88385518,151.2073746,51523.54872
-33.9427261,151.2006686,41775.80068
-33.90479221,151.253483,61210.30667
-33.89183194,151.2419161,50002.07065
-33.81594389,151.1304804,49906.99679
-33.85161909,151.283127,46721.05283
-33.95695201,151.2783046,51551.90684
-33.8525958,151.1780219,58250.98265
-33.88805411,151.2290902,41328.69784
-33.9026461,151.2340015,43418.83511
-33.83821619,151.2223337,46962.73971
-33.81725002,151.1817847,36541.29077
-33.82223599,151.1757188,41807.4214
-33.91076088,151.2080223,45237.79126
-33.88426062,151.2679365,58743.89181
-33.85223683,151.23648,52625.61329
-33.82002274,151.1907693,51935.89911
-33.89275871,151.2478849,58508.97962
-33.87808295,151.0668729,48626.28212
-33.92411675,151.2667383,53904.6485
-33.92861033,151.1223143,48967.78247
-33.82817371,151.191178,52653.62349
-33.800988,151.1533165,44172.41342
-33.87240051,151.1445659,25611.82842
-33.81862336,151.2673413,48657.20838
-33.8507182,151.1859149,64227.48136
-33.90105599,151.2266252,59262.15402
-33.85073022,151.206954,59653.97485
-33.79189817,151.233152,62361.30722
-33.8705913,151.2131411,50886.57591
-33.79056782,151.1451504,51973.15707
-33.99978726,151.2591133,43823.48105
-33.82770487,151.1846122,46839.27144
-33.86444765,151.1314709,56157.7115
-33.88375037,151.1878942,62038.84437
-33.86421196,151.284338,48605.53724
-33.96817845,151.2518111,45498.10735
-33.87978359,151.1918674,50005.27959
-33.85094437,151.1918371,56012.06749
-33.7949053,151.1932182,35561.45184
-33.89471351,151.3131374,27038.19047
-33.90922468,151.2283968,44494.63151
-33.89388785,151.2308021,37792.87574
-33.82302989,151.2608142,44918.59802
-33.85236244,151.2212395,48522.19681
-33.89528801,151.1963479,45467.51591
-33.84313663,151.1994825,64524.67534
-33.86394612,151.2057199,53267.44765
-33.82036775,151.2074389,53004.7436
-33.90390265,151.2456815,56222.07144
-33.88518311,151.2118973,38611.66882
-33.88840541,151.245932,60391.11787
-33.94197575,151.2052642,49242.35713
-33.85399399,151.2132318,56704.80617
-33.85574724,151.10939,39281.42767
-33.86854433,151.2551164,34462.41234
-33.88052936,151.2266244,58178.89658
-33.93956854,151.2592005,53764.09526
-33.88983227,151.0644872,40979.48446
-33.88593573,151.3137187,41303.36919
-33.90891386,151.2023205,61254.34784
-33.87686429,151.2647091,38105.88107
-33.84859746,151.1573047,66426.72953
-33.7744907,151.2399387,40993.79265
-33.86007111,151.1566292,56383.91926
-33.85592248,151.1781116,46713.81524
-33.8725223,151.3050016,56031.87431
-33.96473856,151.1997659,44558.85998
-33.87012569,151.2201716,48372.07094
-33.86578849,151.2528034,50409.19175
-33.74563789,151.2340841,39978.12544
-33.87841805,151.2168209,57408.24345
-33.85372263,151.2275481,44867.86434
-33.87053559,151.3294708,47714.00085
-33.9272339,151.2064191,40056.50625
-33.81165886,151.219355,24376.66341
-33.83120335,151.2618327,48089.72237
-33.8292484,151.2645763,74126.15422
-33.91426937,151.2686515,57846.04288
-33.79866028,151.2412365,49807.3962
-33.93889255,151.1521498,47371.09171
-33.83945715,151.2909716,50224.65893
-33.75927722,151.1519827,55471.19115
-33.91832682,151.2244318,38191.87185
-33.89711489,151.1715862,61143.21695
-33.86381743,151.2060931,57153.81315
-33.89397378,151.2257381,57181.85726
-33.94633317,151.2253679,54384.75739
-33.86537185,151.230396,50196.16658
-33.92191519,151.2899856,56728.61236
-33.84512038,151.2319767,55918.14134
-33.91477121,151.1970922,46459.59289
-33.79130328,151.2575044,44263.98227
-33.90796266,151.2687735,51018.56295
-33.88490308,151.1479196,65490.20151
-33.82812414,151.23917,37608.92924
-33.93034322,151.2443586,35324.74734
-33.857427,151.1944218,51647.60841
-33.80344286,151.2780853,50508.87702
-33.94917416,151.2017972,51733.41664
-33.85956831,151.2155788,52439.53198
-33.85580586,151.2006464,47767.97745
-33.82970886,151.210079,64898.63439
-33.93064754,151.1544862,33990.96022
-33.93482283,151.1372975,41715.02975
-33.84270292,151.2890253,48967.4524
-33.85395077,151.1669519,33568.11189
-33.85627536,151.1597304,48241.45596
-33.85147759,151.1016305,66614.70166
-33.90280124,151.1773519,50208.86488
-33.85718732,151.1431455,52307.00906
-33.85414638,151.2914008,37398.35235
-33.90451757,151.2597909,43836.38592
-33.77551127,151.1748925,46248.0362
-33.84510835,151.3219218,46822.84903
-33.92836517,151.2583883,62816.43795
-33.83597232,151.1930584,55576.91061
-33.91753408,151.0843297,38885.42043
-33.82944577,151.3238471,52465.04778
-33.81087022,151.1398214,54982.21748
-33.90983412,151.1270301,61401.49039
-33.82063119,151.2604285,65805.40687
-33.84816095,151.3312876,39849.05808
-33.82769699,151.2785136,41891.42489
-33.77396035,151.2374955,37424.22141
-33.88106941,151.2390377,47659.80141
-33.90648681,151.2519708,54663.58374
-33.91327572,151.2472464,59873.34517
-33.90959051,151.2233596,49240.48976
-33.87265509,151.2145101,46801.52477
-33.8517424,151.2061703,51517.57992
-33.85496546,151.1716018,41648.57098
-33.82744084,151.1952662,70895.38722
-33.86814991,151.1246522,33923.38973
-33.7961233,151.204383,51847.40579
-33.88203284,151.1598704,70236.06219
-33.73279154,151.1541205,50067.99845
-33.83751663,151.2182947,48099.60965
-33.91165788,151.2789001,46425.54577
-33.92234462,151.2552158,48196.08318
-33.84467638,151.130775,63728.48475
-33.87997314,151.1598186,27881.38089
-33.83309998,151.2563386,65334.33701
-33.84513812,151.1601756,35760.42848
-33.87244145,151.1980683,47333.47671
-33.91113969,151.2368026,45707.5558
-33.94454236,151.1608828,55885.5327
-33.89112575,151.2145688,34018.75648
-33.82598006,151.1425987,54621.72666
-33.85809531,151.1792316,70243.09623
-33.93108694,151.2252891,36368.25995
-33.86014095,151.1296503,51897.06168
-33.84953413,151.2313237,43380.17822
-33.91299287,151.2083181,54258.87206
-33.86111374,151.2369245,50191.47777
-33.86588956,151.2204957,43585.13091
-33.92594851,151.277507,54878.72285
-33.85091063,151.2155612,68043.4811
-33.84076077,151.1878297,48090.96208
-33.81464744,151.2154149,57197.57942
-33.8161099,151.2364649,37067.27042
-33.93768347,151.211743,40435.63623
-33.91569125,151.2113296,54724.06278
-33.84304824,151.1742004,64841.16029
-33.8431107,151.176155,53556.13349
-33.84304762,151.1391697,46869.41969
-33.67616343,151.2967788,49992.91405
-33.84025547,151.1471068,37495.92266
-33.81202172,151.1746547,56045.15326
-33.82109991,151.1733796,58823.33062
